step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,1,,1,625.4841186120954,72.50967970040024,AGV starts moving to relay point
0,0,AGV_MOVE_START,2,,2,297.5263865322073,250.8896643339405,AGV starts moving to relay point
0,0,TASK_ASSIGNED,1,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,1,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,2,2,2,,,Task assigned to UAV
0,0,RELAY_REQUEST,2,,2,,,Relay support requested for task
0,0,RELAY_REQUEST,1,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,2,,,,,Relay via AGV 2
0,0,WAIT_FOR_AGV_START,1,1,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,2,2,,,,Task starts waiting for AGV
0,0,AGV_ARRIVE_RELAY,2,,2,297.5263865322073,250.8896643339405,AGV arrived at relay point
0,0,UAV_DEPLOYED_AT_RELAY,2,2,2,,,UAV position updated to relay point
0,0,RELAY_COOP_START,2,2,2,,,
1,1,WAIT_FOR_AGV_END,2,2,,,,Task stops waiting for AGV
1,1,TASK_COMPLETE,2,2,,,,
2,2,AGV_MOVE_START,3,,2,297.5263865322073,250.8896643339405,AGV starts moving to relay point
2,2,TASK_ASSIGNED,3,2,2,,,Task assigned to UAV
2,2,RELAY_REQUEST,3,,2,,,Relay support requested for task
2,2,RELAY_REQUEST,3,,,,,Relay via AGV 2
2,2,WAIT_FOR_AGV_START,3,2,,,,Task starts waiting for AGV
2,2,AGV_ARRIVE_RELAY,3,,2,297.5263865322073,250.8896643339405,AGV arrived at relay point
2,2,UAV_DEPLOYED_AT_RELAY,3,2,2,,,UAV position updated to relay point
2,2,RELAY_COOP_START,3,2,2,,,
3,3,WAIT_FOR_AGV_END,3,2,,,,Task stops waiting for AGV
3,3,TASK_COMPLETE,3,2,,,,
10,10,RELAY_FALLBACK,1,1,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,1,1,,,,
11,11,WAIT_FOR_AGV_END,1,1,,,,Task stops waiting for AGV
11,11,TASK_COMPLETE,1,1,,,,
23,23,AGV_ARRIVE_RELAY,1,,1,851.8945705332685,132.2864694990111,AGV arrived at relay point
