timestamp,sender,receiver,message_type,content
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 7
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 7
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 3
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 3
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 7
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 3
0,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 3
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 6
2,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 6
2,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 6
2,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 6
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 6
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 26.1%
4,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 4
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 4
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 4
4,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 4
4,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 6.5%"
4,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
4,AGV 1,UAV 1,CHARGING_START,Start charging
11,UAV 2,Control Center,TASK_COMPLETE,Complete task 7
12,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 10
12,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 10
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 10
12,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 10
13,UAV 2,Control Center,TASK_COMPLETE,Complete task 10
13,UAV 2,Control Center,LOW_BATTERY,Battery level: 22.7%
14,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
14,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 2
14,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 2
14,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 3.7%"
15,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
15,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
16,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
17,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
18,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
19,UAV 1,Control Center,TASK_COMPLETE,Complete task 4
19,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
20,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
21,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
22,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
23,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
24,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
25,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
26,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
27,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
28,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
29,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
30,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
31,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
32,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
33,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
34,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
35,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
36,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
37,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 2
37,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
37,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
37,AGV 1,UAV 2,CHARGING_START,Start charging
38,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 9
38,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 9
38,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 9
38,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 9
39,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 8
39,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 8
39,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 8
39,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 8
39,UAV 1,Control Center,TASK_COMPLETE,Complete task 9
39,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.8%
40,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
40,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 1
40,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 1
40,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 9.9%"
41,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 1
41,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
41,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
41,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
41,AGV 1,UAV 1,CHARGING_START,Start charging
43,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 5
43,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 5
43,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 5
54,UAV 2,Control Center,TASK_COMPLETE,Complete task 8
91,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 5
92,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 5
92,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 5
92,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 5
92,UAV 2,Control Center,LOW_BATTERY,Battery level: 21.9%
93,UAV 1,Control Center,TASK_COMPLETE,Complete task 5
93,UAV 2,Control Center,TASK_COMPLETE,Complete task 5
93,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 1.2%"
93,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
93,AGV 1,UAV 2,CHARGING_START,Start charging
