step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,7,,1,140,125,AGV starts moving to relay point
0,0,TASK_ASSIGNED,7,2,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,7,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,3,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,3,,1,,,Relay support requested for task
0,0,RELAY_REQUEST,7,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,3,,,,,Relay via AGV 1
0,0,WAIT_FOR_AGV_START,3,1,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,7,2,,,,Task starts waiting for AGV
0,0,AGV_ARRIVE_RELAY,3,,1,140,116,AGV arrived at relay point
0,0,UAV_DEPLOYED_AT_RELAY,3,1,1,,,UAV position updated to relay point
0,0,RELAY_COOP_START,3,1,1,,,
1,1,WAIT_FOR_AGV_END,3,1,,,,Task stops waiting for AGV
1,1,TASK_COMPLETE,3,1,,,,
2,2,AGV_MOVE_START,6,,1,140,116,AGV starts moving to relay point
2,2,TASK_ASSIGNED,6,1,1,,,Task assigned to UAV
2,2,RELAY_REQUEST,6,,1,,,Relay support requested for task
2,2,RELAY_REQUEST,6,,,,,Relay via AGV 1
2,2,WAIT_FOR_AGV_START,6,1,,,,Task starts waiting for AGV
2,2,AGV_ARRIVE_RELAY,6,,1,148.01643835616437,115.15616438356165,AGV arrived at relay point
2,2,UAV_DEPLOYED_AT_RELAY,6,1,1,,,UAV position updated to relay point
2,2,RELAY_COOP_START,6,1,1,,,
3,3,WAIT_FOR_AGV_END,6,1,,,,Task stops waiting for AGV
3,3,TASK_COMPLETE,6,1,,,,
3,3,LOW_BATTERY,,1,,,,
4,4,AGV_MOVE_START,4,,1,148.01643835616437,115.15616438356165,AGV starts moving to relay point
4,4,TASK_ASSIGNED,4,1,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,4,,1,,,Relay support requested for task
4,4,RELAY_REQUEST,4,,,,,Relay via AGV 1
4,4,WAIT_FOR_AGV_START,4,1,,,,Task starts waiting for AGV
4,4,AGV_ARRIVE_RELAY,4,,1,148.01643835616437,115.15616438356165,AGV arrived at relay point
4,4,UAV_DEPLOYED_AT_RELAY,4,1,1,,,UAV position updated to relay point
4,4,RELAY_COOP_START,4,1,1,,,
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_START,,1,1,148.01643835616437,115.15616438356165,Charging started
5,5,WAIT_FOR_AGV_END,4,1,,,,Task stops waiting for AGV
10,10,RELAY_FALLBACK,7,2,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,7,2,1,,,
11,11,WAIT_FOR_AGV_END,7,2,,,,Task stops waiting for AGV
11,11,TASK_COMPLETE,7,2,,,,
12,12,AGV_MOVE_START,10,,1,148.01643835616437,115.15616438356165,AGV starts moving to relay point
12,12,TASK_ASSIGNED,10,2,1,,,Task assigned to UAV
12,12,RELAY_REQUEST,10,,1,,,Relay support requested for task
12,12,RELAY_REQUEST,10,,,,,Relay via AGV 1
12,12,WAIT_FOR_AGV_START,10,2,,,,Task starts waiting for AGV
12,12,AGV_ARRIVE_RELAY,10,,1,148.01643835616437,115.15616438356165,AGV arrived at relay point
12,12,UAV_DEPLOYED_AT_RELAY,10,2,1,,,UAV position updated to relay point
12,12,RELAY_FALLBACK_START,10,2,1,,,
13,13,WAIT_FOR_AGV_END,10,2,,,,Task stops waiting for AGV
13,13,TASK_COMPLETE,10,2,,,,
13,13,LOW_BATTERY,,2,,,,
14,14,AGV_MOVE_START,2,,1,148.01643835616437,115.15616438356165,AGV starts moving to relay point
14,14,TASK_ASSIGNED,2,2,1,,,Task assigned to UAV
14,14,RELAY_REQUEST,2,,1,,,Relay support requested for task
14,14,RELAY_REQUEST,2,,,,,Relay via AGV 1
14,14,WAIT_FOR_AGV_START,2,2,,,,Task starts waiting for AGV
14,14,RELAY_FALLBACK,2,2,,,,"AGV took too long, falling back to direct delivery"
14,14,RELAY_FALLBACK_START,2,2,,,,
14,14,CHARGING_REQUEST,,2,,,,UAV requests charging
15,15,WAIT_FOR_AGV_END,2,2,,,,Task stops waiting for AGV
15,15,TASK_COMPLETE,2,2,,,,
15,15,CHARGING_REQUEST,,2,,,,UAV requests charging
16,16,CHARGING_REQUEST,,2,,,,UAV requests charging
17,17,CHARGING_REQUEST,,2,,,,UAV requests charging
18,18,CHARGING_REQUEST,,2,,,,UAV requests charging
19,19,CHARGING_END,,1,1,148.01643835616437,115.15616438356165,Charging ended
19,19,TASK_COMPLETE,4,1,,,,
19,19,CHARGING_REQUEST,,2,,,,UAV requests charging
20,20,CHARGING_REQUEST,,2,,,,UAV requests charging
21,21,CHARGING_REQUEST,,2,,,,UAV requests charging
22,22,CHARGING_REQUEST,,2,,,,UAV requests charging
23,23,CHARGING_REQUEST,,2,,,,UAV requests charging
24,24,CHARGING_REQUEST,,2,,,,UAV requests charging
25,25,CHARGING_REQUEST,,2,,,,UAV requests charging
26,26,CHARGING_REQUEST,,2,,,,UAV requests charging
27,27,CHARGING_REQUEST,,2,,,,UAV requests charging
28,28,CHARGING_REQUEST,,2,,,,UAV requests charging
29,29,CHARGING_REQUEST,,2,,,,UAV requests charging
30,30,CHARGING_REQUEST,,2,,,,UAV requests charging
31,31,CHARGING_REQUEST,,2,,,,UAV requests charging
32,32,CHARGING_REQUEST,,2,,,,UAV requests charging
33,33,CHARGING_REQUEST,,2,,,,UAV requests charging
34,34,CHARGING_REQUEST,,2,,,,UAV requests charging
35,35,CHARGING_REQUEST,,2,,,,UAV requests charging
36,36,CHARGING_REQUEST,,2,,,,UAV requests charging
37,37,AGV_ARRIVE_RELAY,2,,1,379,58,AGV arrived at relay point
37,37,CHARGING_REQUEST,,2,,,,UAV requests charging
37,37,CHARGING_START,,2,1,379,58,Charging started
38,38,AGV_MOVE_START,9,,1,379,58,AGV starts moving to relay point
38,38,TASK_ASSIGNED,9,1,1,,,Task assigned to UAV
38,38,RELAY_REQUEST,9,,1,,,Relay support requested for task
38,38,RELAY_REQUEST,9,,,,,Relay via AGV 1
38,38,WAIT_FOR_AGV_START,9,1,,,,Task starts waiting for AGV
38,38,AGV_ARRIVE_RELAY,9,,1,385.61764705882354,54.029411764705884,AGV arrived at relay point
38,38,UAV_DEPLOYED_AT_RELAY,9,1,1,,,UAV position updated to relay point
38,38,RELAY_FALLBACK_START,9,1,1,,,
39,39,AGV_MOVE_START,8,,1,385.61764705882354,54.029411764705884,AGV starts moving to relay point
39,39,TASK_ASSIGNED,8,2,1,,,Task assigned to UAV
39,39,RELAY_REQUEST,8,,1,,,Relay support requested for task
39,39,RELAY_REQUEST,8,,,,,Relay via AGV 1
39,39,WAIT_FOR_AGV_START,8,2,,,,Task starts waiting for AGV
39,39,WAIT_FOR_AGV_END,9,1,,,,Task stops waiting for AGV
39,39,AGV_ARRIVE_RELAY,8,,1,385.61764705882354,54.029411764705884,AGV arrived at relay point
39,39,UAV_DEPLOYED_AT_RELAY,8,2,1,,,UAV position updated to relay point
39,39,TASK_COMPLETE,9,1,,,,
39,39,LOW_BATTERY,,1,,,,
40,40,AGV_MOVE_START,1,,1,385.61764705882354,54.029411764705884,AGV starts moving to relay point
40,40,TASK_ASSIGNED,1,1,1,,,Task assigned to UAV
40,40,RELAY_REQUEST,1,,1,,,Relay support requested for task
40,40,RELAY_REQUEST,1,,,,,Relay via AGV 1
40,40,WAIT_FOR_AGV_START,1,1,,,,Task starts waiting for AGV
40,40,WAIT_FOR_AGV_END,8,2,,,,Task stops waiting for AGV
40,40,RELAY_FALLBACK,1,1,,,,"AGV took too long, falling back to direct delivery"
40,40,RELAY_FALLBACK_START,1,1,,,,
40,40,CHARGING_REQUEST,,1,,,,UAV requests charging
41,41,WAIT_FOR_AGV_END,1,1,,,,Task stops waiting for AGV
41,41,AGV_ARRIVE_RELAY,1,,1,374.3054519368723,46.70975609756097,AGV arrived at relay point
41,41,TASK_COMPLETE,1,1,,,,
41,41,CHARGING_REQUEST,,1,,,,UAV requests charging
41,41,CHARGING_START,,1,1,378,41,Charging started
43,43,AGV_MOVE_START,5,,1,374.3054519368723,46.70975609756097,AGV starts moving to relay point
43,43,TASK_ASSIGNED,5,1,1,,,Task assigned to UAV
43,43,RELAY_REQUEST,5,,1,,,Relay support requested for task
43,43,RELAY_REQUEST,5,,,,,Relay via AGV 1
43,43,WAIT_FOR_AGV_START,5,1,,,,Task starts waiting for AGV
44,44,INFEASIBLE_TASK,5,,,,,Infeasible: low_battery
53,53,CHARGING_END,,2,1,385.61764705882354,54.029411764705884,Charging ended
53,53,RELAY_FALLBACK_START,8,2,,,,
54,54,TASK_COMPLETE,8,2,,,,
57,57,CHARGING_END,,1,1,378,41,Charging ended
91,91,AGV_ARRIVE_RELAY,5,,1,24,376,AGV arrived at relay point
92,92,AGV_MOVE_START,5,,1,24,376,AGV starts moving to relay point
92,92,RELAY_REQUEST,5,,1,,,Relay support requested for task
92,92,RELAY_REQUEST,5,,,,,Relay via AGV 1
92,92,AGV_ARRIVE_RELAY,5,,1,24,376,AGV arrived at relay point
92,92,UAV_DEPLOYED_AT_RELAY,5,2,1,,,UAV position updated to relay point
92,92,RELAY_FALLBACK_START,5,1,1,,,
92,92,LOW_BATTERY,,2,,,,
93,93,WAIT_FOR_AGV_END,5,2,,,,Task stops waiting for AGV
93,93,TASK_COMPLETE,5,1,,,,
93,93,TASK_COMPLETE,5,2,,,,
93,93,CHARGING_REQUEST,,2,,,,UAV requests charging
93,93,CHARGING_START,,2,1,2,374,Charging started
109,109,CHARGING_END,,2,1,2,374,Charging ended
