task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,39.824615503479755,0.0,0.0,36.6190372726127,0.0,0.0,36.6190372726127
2,alns_unified,0,0,1,1,True,True,531.064343659685,709.3835351909431,0.0,0.0,37.505528553350146,0.0,0.0,37.505528553350146
3,alns_unified,29,29,30,1,True,True,375.43540813422453,25.553864678361276,0.0,0.0,38.25028973695843,0.0,0.0,38.25028973695843
4,alns_unified,41,41,56,15,True,True,512.986645015818,4.47213595499958,0.0,0.0,40.53829521759885,0.0,0.0,40.53829521759885
5,alns_unified,27,27,28,1,True,True,515.0111063591671,607.8001316222299,0.0,0.0,45.95224150920764,0.0,0.0,45.95224150920764
6,alns_unified,29,29,30,1,True,True,634.3310940308252,55.97320787662612,0.0,0.0,40.058303025707914,0.0,0.0,40.058303025707914
7,alns_unified,0,0,1,1,True,True,826.7990021581597,450.28990661572686,0.0,0.0,39.432416433144724,0.0,0.0,39.432416433144724
8,alns_unified,0,0,1,1,True,True,764.6069204572193,832.6061493887731,0.0,0.0,45.5069250828195,0.0,0.0,45.5069250828195
9,alns_unified,2,2,3,1,True,True,405.5732336732949,439.9420416373048,0.0,0.0,44.378797286029894,0.0,0.0,44.378797286029894
10,alns_unified,58,26,58,0,True,True,655.5608330372926,32.14059765549541,0.0,2.0,67.14512804312301,0.0,0.0,67.14512804312301
11,alns_unified,27,27,28,1,True,True,396.3715401920073,9.0,0.0,0.0,40.99035703763322,0.0,0.0,40.99035703763322
12,alns_unified,0,0,1,1,True,True,594.9744463075947,18.35755975068582,0.0,0.0,38.19775157653933,0.0,0.0,38.19775157653933
13,alns_unified,0,0,1,1,True,True,343.3588079647843,776.0270613838154,0.0,0.0,38.4344853202542,0.0,0.0,38.4344853202542
14,alns_unified,11,11,26,15,True,True,749.8859149067089,689.6868854777507,0.0,7.0,38.356449267959256,0.0,0.0,38.356449267959256
15,alns_unified,2,2,3,1,True,True,332.92181671501675,442.87470011279714,0.0,0.0,34.01179747063442,0.0,0.0,34.01179747063442
16,alns_unified,62,42,62,0,True,True,485.0035217273694,616.7081967997507,0.0,2.0,45.623426407595254,0.0,0.0,45.623426407595254
17,alns_unified,11,11,26,15,True,True,827.0302017714606,445.92600283006595,0.0,7.0,45.12837373472533,0.0,0.0,45.12837373472533
18,alns_unified,29,29,30,1,True,True,461.1069700234807,64.40496875241847,0.0,0.0,43.45552851291664,0.0,0.0,43.45552851291664
19,alns_unified,2,2,3,1,True,True,388.8784541956833,455.2636598719472,0.0,0.0,38.094970192395394,0.0,0.0,38.094970192395394
20,alns_unified,11,11,26,15,True,True,407.33062185876094,470.9787680989452,0.0,7.0,37.80379442983438,0.0,0.0,37.80379442983438
21,alns_unified,23,11,23,0,True,True,499.31319371556316,469.737160548322,0.0,8.0,35.78881736561833,0.0,0.0,35.78881736561833
22,alns_unified,27,27,28,1,True,True,297.64292947651256,18.973665961010276,0.0,0.0,43.05793859403832,0.0,0.0,43.05793859403832
23,alns_unified,59,59,60,1,True,True,361.0382124448971,6.708203932499369,0.0,0.0,33.143643050477124,0.0,0.0,33.143643050477124
24,alns_unified,59,41,60,1,True,True,356.6032860593732,387.5796692294373,0.0,1.0,39.49527002874348,0.0,0.0,39.49527002874348
25,alns_unified,29,29,30,1,True,True,172.76408177059642,67.4166151627327,0.0,0.0,35.92927716720856,0.0,0.0,35.92927716720856
26,alns_unified,62,42,62,0,True,True,139.85961251204526,1251.1030541130692,0.0,2.0,78.1659427492191,0.0,0.0,78.1659427492191
27,alns_unified,11,11,26,15,True,True,250.55231360750778,831.3037952517719,0.0,7.0,36.712240385949585,0.0,0.0,36.712240385949585
28,alns_unified,27,27,28,1,True,True,465.44601799152144,65.80273550544841,0.0,0.0,38.861642790563444,0.0,0.0,38.861642790563444
29,alns_unified,24,24,25,1,True,True,527.2356096740644,460.6831883192613,0.0,0.0,39.49262476287358,0.0,0.0,39.49262476287358
30,alns_unified,2,2,3,1,True,True,513.2014437550836,438.693514882543,0.0,0.0,39.36489107255326,0.0,0.0,39.36489107255326
