task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,39.824615503479755,0.0,0.0,36.6190372726127,0.0,0.0,36.6190372726127
2,alns_unified,0,0,1,1,True,True,531.064343659685,709.3835351909431,0.0,0.0,37.505528553350146,0.0,0.0,37.505528553350146
3,alns_unified,25,25,29,4,True,True,375.43540813422453,108.37548341811267,0.0,1.0,114.84316670632403,0.0,0.0,114.84316670632403
4,alns_unified,41,41,56,15,True,True,512.986645015818,25.709920264364882,0.0,0.0,40.6889663020699,0.0,0.0,40.6889663020699
5,alns_unified,27,27,28,1,True,True,515.0111063591671,13.892443989449804,0.0,0.0,41.65425764689455,0.0,0.0,41.65425764689455
6,alns_unified,29,29,30,1,True,True,634.3310940308252,47.12748667179272,0.0,0.0,39.99655576487817,0.0,0.0,39.99655576487817
7,alns_unified,0,0,1,1,True,True,826.7990021581597,450.28990661572686,0.0,0.0,39.432416433144724,0.0,0.0,39.432416433144724
8,alns_unified,0,0,1,1,True,True,764.6069204572193,832.6061493887731,0.0,0.0,45.5069250828195,0.0,0.0,45.5069250828195
9,alns_unified,2,2,3,1,True,True,405.5732336732949,438.1244115545264,0.0,0.0,44.36572708531263,0.0,0.0,44.36572708531263
10,alns_unified,58,42,58,0,True,True,655.5608330372926,803.3413510663092,0.0,2.0,71.87934625980907,0.0,0.0,71.87934625980907
11,alns_unified,27,27,28,1,True,True,396.3715401920073,2.23606797749979,0.0,0.0,40.941984904962865,0.0,0.0,40.941984904962865
12,alns_unified,0,0,1,1,True,True,594.9744463075947,18.35755975068582,0.0,0.0,38.19775157653933,0.0,0.0,38.19775157653933
13,alns_unified,0,0,1,1,True,True,343.3588079647843,776.0270613838154,0.0,0.0,38.4344853202542,0.0,0.0,38.4344853202542
14,alns_unified,11,11,25,14,True,True,749.8859149067089,686.9970887856804,0.0,7.0,38.339720437440704,0.0,0.0,38.339720437440704
15,alns_unified,2,2,3,1,True,True,332.92181671501675,453.90858110416906,0.0,0.0,34.076447400145824,0.0,0.0,34.076447400145824
16,alns_unified,74,42,74,0,True,True,485.0035217273694,602.718010349782,0.0,2.0,45.52287229594703,0.0,0.0,45.52287229594703
17,alns_unified,23,11,23,0,True,True,827.0302017714606,445.92600283006595,0.0,8.0,45.12837373472533,0.0,0.0,45.12837373472533
18,alns_unified,25,25,25,0,True,True,461.1069700234807,52.773099207835045,0.0,1.0,43.36910132794627,0.0,0.0,43.36910132794627
19,alns_unified,2,2,3,1,True,True,388.8784541956833,444.6234361794259,0.0,0.0,38.02716545597829,0.0,0.0,38.02716545597829
20,alns_unified,11,11,26,15,True,True,407.33062185876094,486.09669819903115,0.0,7.0,37.8993777123718,0.0,0.0,37.8993777123718
21,alns_unified,23,11,23,0,True,True,499.31319371556316,469.737160548322,0.0,8.0,35.78881736561833,0.0,0.0,35.78881736561833
22,alns_unified,27,27,28,1,True,True,297.64292947651256,59.54829972383762,0.0,0.0,43.359086343221755,0.0,0.0,43.359086343221755
23,alns_unified,59,41,60,1,True,True,361.0382124448971,422.59400556559194,0.0,1.0,68.7784941016323,0.0,0.0,68.7784941016323
24,alns_unified,59,41,60,1,True,True,356.6032860593732,499.39018604102205,0.0,1.0,77.16799578978872,0.0,0.0,77.16799578978872
25,alns_unified,29,29,30,1,True,True,172.76408177059642,83.21658488546619,0.0,0.0,36.03061311277479,0.0,0.0,36.03061311277479
26,alns_unified,74,74,74,0,True,True,139.85961251204526,689.7253076406578,0.0,1.0,39.49113733137696,0.0,0.0,39.49113733137696
27,alns_unified,11,11,26,15,True,True,250.55231360750778,831.3037952517719,0.0,7.0,36.712240385949585,0.0,0.0,36.712240385949585
28,alns_unified,28,28,29,1,True,True,465.44601799152144,406.2819218227658,0.0,0.0,41.180320661097014,0.0,0.0,41.180320661097014
29,alns_unified,26,26,27,1,True,True,527.2356096740644,689.3221307922734,0.0,0.0,40.98948319851689,0.0,0.0,40.98948319851689
30,alns_unified,2,2,3,1,True,True,513.2014437550836,440.09089970141395,0.0,0.0,39.37404241055509,0.0,0.0,39.37404241055509
