task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,7.0710678118654755,0.0,0.0,36.40512936875328,0.0,0.0,36.40512936875328
2,alns_unified,0,0,1,1,True,True,531.064343659685,451.32804034316325,0.0,0.0,35.93172237298505,0.0,0.0,35.93172237298505
3,alns_unified,25,25,29,4,True,True,375.43540813422453,135.07485533669904,0.0,1.0,114.99778010128945,0.0,0.0,114.99778010128945
4,alns_unified,29,29,30,1,True,True,512.986645015818,25.709920264364882,0.0,0.0,40.6889663020699,0.0,0.0,40.6889663020699
5,alns_unified,11,11,26,15,True,True,515.0111063591671,458.2597516692907,0.0,7.0,44.87004952350749,0.0,0.0,44.87004952350749
6,alns_unified,27,27,28,1,True,True,634.3310940308252,47.12748667179272,0.0,0.0,39.99655576487817,0.0,0.0,39.99655576487817
7,alns_unified,0,0,1,1,True,True,826.7990021581597,14.866068747318506,0.0,0.0,36.58133725037583,0.0,0.0,36.58133725037583
8,alns_unified,0,0,1,1,True,True,764.6069204572193,832.6061493887731,0.0,0.0,45.5069250828195,0.0,0.0,45.5069250828195
9,alns_unified,2,2,3,1,True,True,405.5732336732949,438.1244115545264,0.0,0.0,44.36572708531263,0.0,0.0,44.36572708531263
10,alns_unified,49,49,56,7,True,True,655.5608330372926,399.2818553353007,0.0,0.0,35.9250087302044,0.0,0.0,35.9250087302044
11,alns_unified,26,26,27,1,True,True,396.3715401920073,64.40496875241847,0.0,0.0,41.386584629834516,0.0,0.0,41.386584629834516
12,alns_unified,0,0,1,1,True,True,594.9744463075947,705.0283682235772,0.0,0.0,42.84228718666901,0.0,0.0,42.84228718666901
13,alns_unified,0,0,1,1,True,True,343.3588079647843,776.0270613838154,0.0,0.0,38.4344853202542,0.0,0.0,38.4344853202542
14,alns_unified,75,75,75,0,True,True,749.8859149067089,697.6087728806168,0.0,1.0,38.4057183863801,0.0,0.0,38.4057183863801
15,alns_unified,2,2,3,1,True,True,332.92181671501675,442.87470011279714,0.0,0.0,34.01179747063442,0.0,0.0,34.01179747063442
16,alns_unified,56,50,56,0,True,True,485.0035217273694,602.2042842756932,0.0,7.0,45.51917990276877,0.0,0.0,45.51917990276877
17,alns_unified,11,11,26,15,True,True,827.0302017714606,468.0309818804734,0.0,7.0,45.28932725281123,0.0,0.0,45.28932725281123
18,alns_unified,25,25,25,0,True,True,461.1069700234807,52.773099207835045,0.0,1.0,43.36910132794627,0.0,0.0,43.36910132794627
19,alns_unified,2,2,3,1,True,True,388.8784541956833,433.9181950552431,0.0,0.0,37.958946396522165,0.0,0.0,37.958946396522165
20,alns_unified,23,11,23,0,True,True,407.33062185876094,464.01400840922895,0.0,8.0,37.75975965861768,0.0,0.0,37.75975965861768
21,alns_unified,23,11,23,0,True,True,499.31319371556316,469.737160548322,0.0,8.0,35.78881736561833,0.0,0.0,35.78881736561833
22,alns_unified,26,26,27,1,True,True,297.64292947651256,11.704699910719626,0.0,0.0,43.0039878232752,0.0,0.0,43.0039878232752
23,alns_unified,49,49,56,7,True,True,361.0382124448971,481.76342742055465,0.0,0.0,36.035935737486135,0.0,0.0,36.035935737486135
24,alns_unified,49,49,56,7,True,True,356.6032860593732,400.7804885470349,0.0,0.0,39.58251357054381,0.0,0.0,39.58251357054381
25,alns_unified,28,28,29,1,True,True,172.76408177059642,76.32168761236873,0.0,0.0,35.98639144988476,0.0,0.0,35.98639144988476
26,alns_unified,64,64,65,1,True,True,139.85961251204526,686.8369529953961,0.0,0.0,39.47276646360922,0.0,0.0,39.47276646360922
27,alns_unified,11,11,25,14,True,True,250.55231360750778,831.3037952517719,0.0,7.0,36.712240385949585,0.0,0.0,36.712240385949585
28,alns_unified,27,27,28,1,True,True,465.44601799152144,47.12748667179272,0.0,0.0,38.7344635445553,0.0,0.0,38.7344635445553
29,alns_unified,41,41,41,0,True,True,527.2356096740644,406.2819218227658,0.0,1.0,39.13646936001796,0.0,0.0,39.13646936001796
30,alns_unified,2,2,3,1,True,True,513.2014437550836,440.09089970141395,0.0,0.0,39.37404241055509,0.0,0.0,39.37404241055509
