step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,39.73019640183128,0.0,0.0,39.73019640183128
1,2,8,2,0,534.0692637691161,0.0,534.0692637691161,75.74410961808952,0.0,0.0,75.74410961808952
2,3,8,2,0,534.0692637691161,0.0,534.0692637691161,111.37832126591971,0.0,0.0,111.37832126591971
3,4,6,4,1,565.4164711983188,0.0,565.4164711983188,146.81207479874237,0.0,0.0,146.81207479874237
4,5,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,2.0,169.64622523652596
5,6,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,6.0,173.64622523652596
6,7,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,10.0,177.64622523652596
7,8,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,14.0,181.64622523652596
8,9,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,18.0,185.64622523652596
9,10,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,22.0,189.64622523652596
10,11,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,26.0,193.64622523652596
11,12,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,30.0,197.64622523652596
12,13,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,34.0,201.64622523652596
13,14,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,38.0,205.64622523652596
14,15,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,42.0,209.64622523652596
15,16,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,46.0,213.64622523652596
16,17,6,4,2,565.4164711983188,0.0,565.4164711983188,186.33033714544004,0.0,50.0,236.33033714544004
17,18,5,5,2,582.5337139669425,0.0,582.5337139669425,204.90084001346986,0.0,52.0,256.90084001346986
18,19,4,6,2,820.4622746737227,0.0,820.4622746737227,243.38886196788587,0.0,54.0,297.3888619678859
19,20,3,7,3,1058.1532505226178,0.0,1058.1532505226178,280.75965510101076,0.0,54.0,334.75965510101076
20,21,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,56.0,356.0279956523416
21,22,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,58.0,358.0279956523416
22,23,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,60.0,360.0279956523416
23,24,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,62.0,362.0279956523416
24,25,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,64.0,364.0279956523416
25,26,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,66.0,366.0279956523416
26,27,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,68.0,368.0279956523416
27,28,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,70.0,370.0279956523416
28,29,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,72.0,372.0279956523416
29,30,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,74.0,374.0279956523416
30,31,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,76.0,376.0279956523416
31,32,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,78.0,378.0279956523416
32,33,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,80.0,380.0279956523416
33,34,2,8,3,1109.776888519179,0.0,1109.776888519179,316.9705293697508,0.0,82.0,398.9705293697508
34,35,1,9,3,1175.2367999153917,0.0,1175.2367999153917,333.51465108793815,0.0,82.0,415.51465108793815
35,36,1,9,3,1175.2367999153917,0.0,1175.2367999153917,356.6016530949882,0.0,82.0,438.6016530949882
36,37,0,10,4,1503.1773433070252,0.0,1503.1773433070252,377.3205825455065,0.0,82.0,459.3205825455065
