step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,7,3,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,13,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,8,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,12,5,,,,Task assigned to UAV
0,0,TASK_START,2,4,,,,Task starts execution
0,0,TASK_START,7,3,,,,Task starts execution
0,0,TASK_START,8,1,,,,Task starts execution
0,0,TASK_START,12,5,,,,Task starts execution
0,0,TASK_START,13,2,,,,Task starts execution
1,1,TASK_COMPLETE,8,1,,,,
1,1,TASK_COMPLETE,13,2,,,,
1,1,TASK_COMPLETE,7,3,,,,
1,1,TASK_COMPLETE,2,4,,,,
1,1,TASK_COMPLETE,12,5,,,,
2,2,TASK_ASSIGNED,30,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,15,3,,,,Task assigned to UAV
2,2,TASK_START,1,1,,,,Task starts execution
2,2,TASK_START,9,4,,,,Task starts execution
2,2,TASK_START,15,3,,,,Task starts execution
2,2,TASK_START,19,2,,,,Task starts execution
2,2,TASK_START,30,5,,,,Task starts execution
3,3,TASK_COMPLETE,1,1,,,,
3,3,LOW_BATTERY,,1,,,,
3,3,TASK_COMPLETE,19,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,TASK_COMPLETE,15,3,,,,
3,3,LOW_BATTERY,,3,,,,
3,3,TASK_COMPLETE,9,4,,,,
3,3,CHARGING_REQUEST,,4,,,,UAV requests charging
3,3,CHARGING_START,,4,2,462,375,Charging started
3,3,TASK_COMPLETE,30,5,,,,
3,3,CHARGING_REQUEST,,5,,,,UAV requests charging
3,3,CHARGING_START,,5,2,464,366,Charging started
4,4,LOW_BATTERY,,1,,,,
4,4,LOW_BATTERY,,2,,,,
4,4,LOW_BATTERY,,3,,,,
5,5,LOW_BATTERY,,1,,,,
5,5,LOW_BATTERY,,2,,,,
5,5,LOW_BATTERY,,3,,,,
6,6,LOW_BATTERY,,1,,,,
6,6,LOW_BATTERY,,2,,,,
6,6,LOW_BATTERY,,3,,,,
7,7,LOW_BATTERY,,1,,,,
7,7,LOW_BATTERY,,2,,,,
7,7,LOW_BATTERY,,3,,,,
8,8,LOW_BATTERY,,1,,,,
8,8,LOW_BATTERY,,2,,,,
8,8,LOW_BATTERY,,3,,,,
9,9,LOW_BATTERY,,1,,,,
9,9,LOW_BATTERY,,2,,,,
9,9,LOW_BATTERY,,3,,,,
10,10,TASK_ASSIGNED,29,5,,,,Task assigned to UAV
10,10,TASK_ASSIGNED,23,4,,,,Task assigned to UAV
10,10,TASK_START,23,4,,,,Task starts execution
10,10,TASK_START,29,5,,,,Task starts execution
10,10,LOW_BATTERY,,1,,,,
10,10,LOW_BATTERY,,2,,,,
10,10,LOW_BATTERY,,3,,,,
11,11,LOW_BATTERY,,1,,,,
11,11,LOW_BATTERY,,2,,,,
11,11,LOW_BATTERY,,3,,,,
12,12,LOW_BATTERY,,1,,,,
12,12,LOW_BATTERY,,2,,,,
12,12,LOW_BATTERY,,3,,,,
13,13,LOW_BATTERY,,1,,,,
13,13,LOW_BATTERY,,2,,,,
13,13,LOW_BATTERY,,3,,,,
14,14,LOW_BATTERY,,1,,,,
14,14,LOW_BATTERY,,2,,,,
