task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,39.824615503479755,0.0,0.0,36.6190372726127,0.0,0.0,36.6190372726127
2,alns_unified,0,0,1,1,True,True,531.064343659685,709.3835351909431,0.0,0.0,37.505528553350146,0.0,0.0,37.505528553350146
3,alns_unified,29,29,34,5,True,True,375.43540813422453,137.44379708814552,0.0,0.0,115.01170601419759,0.0,0.0,115.01170601419759
4,alns_unified,29,29,30,1,True,True,512.986645015818,25.709920264364882,0.0,0.0,40.6889663020699,0.0,0.0,40.6889663020699
5,alns_unified,11,11,26,15,True,True,515.0111063591671,473.60848809961163,0.0,7.0,44.981125070866305,0.0,0.0,44.981125070866305
6,alns_unified,27,27,28,1,True,True,634.3310940308252,47.12748667179272,0.0,0.0,39.99655576487817,0.0,0.0,39.99655576487817
7,alns_unified,0,0,1,1,True,True,826.7990021581597,450.28990661572686,0.0,0.0,39.432416433144724,0.0,0.0,39.432416433144724
8,alns_unified,0,0,1,1,True,True,764.6069204572193,832.6061493887731,0.0,0.0,45.5069250828195,0.0,0.0,45.5069250828195
9,alns_unified,2,2,3,1,True,True,405.5732336732949,438.1244115545264,0.0,0.0,44.36572708531263,0.0,0.0,44.36572708531263
10,alns_unified,,41,,,False,False,655.5608330372926,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,alns_unified,27,27,28,1,True,True,396.3715401920073,2.23606797749979,0.0,0.0,40.941984904962865,0.0,0.0,40.941984904962865
12,alns_unified,0,0,1,1,True,True,594.9744463075947,18.35755975068582,0.0,0.0,38.19775157653933,0.0,0.0,38.19775157653933
13,alns_unified,0,0,1,1,True,True,343.3588079647843,776.0270613838154,0.0,0.0,38.4344853202542,0.0,0.0,38.4344853202542
14,alns_unified,,41,,,False,False,749.8859149067089,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,alns_unified,2,2,3,1,True,True,332.92181671501675,453.90858110416906,0.0,0.0,34.076447400145824,0.0,0.0,34.076447400145824
16,alns_unified,,41,,,False,False,485.0035217273694,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,alns_unified,11,11,26,15,True,True,827.0302017714606,452.85096886282577,0.0,7.0,45.17879665722874,0.0,0.0,45.17879665722874
18,alns_unified,27,27,28,1,True,True,461.1069700234807,417.50209580312287,0.0,0.0,46.07911284690124,0.0,0.0,46.07911284690124
19,alns_unified,2,2,3,1,True,True,388.8784541956833,444.6234361794259,0.0,0.0,38.02716545597829,0.0,0.0,38.02716545597829
20,alns_unified,11,11,26,15,True,True,407.33062185876094,834.2241904907817,0.0,7.0,40.100417685071264,0.0,0.0,40.100417685071264
21,alns_unified,23,11,23,0,True,True,499.31319371556316,454.34898481233563,0.0,8.0,35.69547092012074,0.0,0.0,35.69547092012074
22,alns_unified,27,27,28,1,True,True,297.64292947651256,466.47615158762403,0.0,0.0,46.37933311575334,0.0,0.0,46.37933311575334
23,alns_unified,24,24,25,1,True,True,361.0382124448971,473.93775962672566,0.0,0.0,35.98829049412923,0.0,0.0,35.98829049412923
24,alns_unified,,41,,,False,False,356.6032860593732,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,alns_unified,29,29,30,1,True,True,172.76408177059642,16.1245154965971,0.0,0.0,35.60030606720284,0.0,0.0,35.60030606720284
26,alns_unified,,41,,,False,False,139.85961251204526,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,alns_unified,23,11,23,0,True,True,250.55231360750778,473.5240226218729,0.0,8.0,34.59738321890258,0.0,0.0,34.59738321890258
28,alns_unified,27,27,28,1,True,True,465.44601799152144,47.12748667179272,0.0,0.0,38.7344635445553,0.0,0.0,38.7344635445553
29,alns_unified,25,25,25,0,True,True,527.2356096740644,460.6831883192613,0.0,1.0,39.49262476287358,0.0,0.0,39.49262476287358
30,alns_unified,2,2,3,1,True,True,513.2014437550836,440.09089970141395,0.0,0.0,39.37404241055509,0.0,0.0,39.37404241055509
