step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,2,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,3,2,,,,Task assigned to UAV
0,0,TASK_START,2,1,,,,Task starts execution
0,0,TASK_START,3,2,,,,Task starts execution
1,1,TASK_COMPLETE,2,1,,,,
1,1,TASK_COMPLETE,3,2,,,,
2,2,TASK_ASSIGNED,5,2,,,,Task assigned to UAV
2,2,TASK_START,5,2,,,,Task starts execution
3,3,TASK_COMPLETE,5,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,2,356.2254648661927,189.9315498306034,Charging started
14,14,CHARGING_END,,2,2,356.2254648661927,189.9315498306034,Charging ended
